Annotation tag,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y
pedestrianCrossing,379,192,408,221
pedestrianCrossing,384,197,413,226
pedestrianCrossing,396,198,425,227
pedestrianCrossing,413,198,442,227
pedestrianCrossing,437,197,467,228
pedestrianCrossing,466,198,497,230
pedestrianCrossing,499,196,532,229
pedestrianCrossing,533,199,566,232
pedestrianCrossing,569,198,604,233
pedestrianCrossing,605,199,640,234
pedestrianCrossing,636,199,672,235
pedestrianCrossing,665,198,703,236
pedestrianCrossing,694,192,734,233
pedestrianCrossing,726,184,770,228
pedestrianCrossing,763,181,812,228
pedestrianCrossing,805,171,855,221
pedestrianCrossing,850,162,907,218
pedestrianCrossing,900,155,963,218
stop,708,134,753,180
pedestrianCrossing,23,175,41,194
stop,731,128,778,177
pedestrianCrossing,23,177,42,197
stop,758,119,808,172
pedestrianCrossing,23,174,43,196
stop,790,105,844,163
pedestrianCrossing,27,169,49,191
stop,825,92,884,154
pedestrianCrossing,32,164,54,187
stop,868,82,933,149
pedestrianCrossing,35,162,58,184
stop,914,69,986,143
pedestrianCrossing,39,165,62,188
pedestrianCrossing,45,166,67,188
pedestrianCrossing,52,157,74,179
pedestrianCrossing,82,147,105,169
pedestrianCrossing,87,144,110,166
pedestrianCrossing,89,140,113,163
pedestrianCrossing,91,137,116,161
pedestrianCrossing,92,135,117,159
pedestrianCrossing,92,134,118,159
pedestrianCrossing,91,140,117,165
pedestrianCrossing,91,140,117,165
pedestrianCrossing,91,140,117,165
pedestrianCrossing,91,140,117,165
pedestrianCrossing,91,141,117,166
pedestrianCrossing,93,141,119,166
pedestrianCrossing,97,143,124,169
pedestrianCrossing,107,144,134,170
pedestrianCrossing,123,145,150,171
pedestrianCrossing,138,147,167,174
pedestrianCrossing,157,141,185,169
pedestrianCrossing,186,129,214,157
pedestrianCrossing,224,229,252,257
pedestrianCrossing,254,191,282,219
pedestrianCrossing,276,216,305,245
pedestrianCrossing,298,207,327,237
pedestrianCrossing,328,222,358,253
pedestrianCrossing,359,217,391,250
pedestrianCrossing,394,216,428,251
pedestrianCrossing,434,208,471,245
pedestrianCrossing,481,199,520,238
pedestrianCrossing,531,189,576,233
pedestrianCrossing,591,177,638,224
pedestrianCrossing,653,170,706,225
stop,909,129,971,191
stop,935,122,1001,188
stop,727,186,766,226
stop,745,179,787,222
stop,766,172,809,217
stop,787,165,834,212
stop,812,154,862,206
stop,838,146,893,202
stop,868,139,927,198
stop,904,130,966,195
stop,942,123,1010,193
speedLimit35,755,182,778,210
speedLimit35,762,182,785,210
speedLimit35,771,181,796,211
speedLimit35,784,176,810,208
speedLimit35,801,171,829,205
speedLimit35,821,170,850,205
speedLimit35,841,169,873,207
speedLimit35,864,170,897,210
speedLimit35,888,166,922,207
speedLimit35,913,152,950,196
speedLimit35,944,150,982,197
speedLimit35,978,150,1019,202
speedLimit35,667,144,688,168
speedLimit35,675,166,697,193
speedLimit35,685,175,709,204
speedLimit35,702,159,728,189
speedLimit35,730,158,759,192
speedLimit35,763,163,794,200
speedLimit35,800,158,834,197
speedLimit35,842,154,880,197
speedLimit35,886,158,926,206
speedLimit35,934,151,979,204
turnLeft,589,183,610,203
turnLeft,591,182,613,204
turnLeft,594,179,617,203
turnLeft,598,177,621,201
turnLeft,602,177,625,201
turnLeft,606,173,630,198
turnLeft,611,168,636,194
turnLeft,616,162,643,190
turnLeft,623,161,651,190
turnLeft,630,160,659,190
slow,634,190,657,214
turnLeft,640,160,669,190
slow,643,190,667,215
turnLeft,647,152,680,186
slow,652,186,678,212
turnLeft,658,147,693,182
slow,663,182,691,210
turnLeft,670,144,707,181
slow,675,181,706,211
turnLeft,684,141,724,181
slow,690,181,722,214
turnLeft,701,143,744,186
slow,707,186,742,222
turnLeft,720,135,767,184
slow,727,184,765,222
turnLeft,742,127,795,180
slow,750,180,793,224
turnLeft,772,127,829,184
slow,779,184,829,234
turnLeft,808,110,871,176
slow,815,176,870,231
turnLeft,855,88,927,164
slow,865,164,927,227
turnLeft,920,68,1004,157
slow,931,157,1003,230
speedLimit15,661,193,682,214
speedLimit15,669,184,691,206
speedLimit15,681,181,705,205
speedLimit15,693,187,719,213
speedLimit15,710,181,738,209
speedLimit15,732,170,762,199
speedLimit15,756,171,789,204
speedLimit15,785,159,821,194
speedLimit15,821,151,861,191
speedLimit15,864,144,910,189
speedLimit15,919,124,972,176
stop,754,199,773,220
stop,751,197,772,219
stop,749,196,770,218
stop,745,193,767,216
stop,741,193,763,216
stop,735,193,758,217
stop,731,192,754,216
stop,729,186,753,211
stop,737,186,762,212
stop,750,189,776,216
stop,765,184,794,213
stop,780,187,810,216
stop,792,198,825,228
stop,809,181,842,213
stop,825,172,858,205
stop,839,172,874,207
stop,855,168,892,205
stop,873,160,912,198
stop,893,151,932,191
stop,915,144,957,186
stop,940,139,984,183
stop,967,134,1015,180
stop,654,250,670,267
stop,670,244,687,262
stop,685,245,702,263
stop,698,243,716,262
stop,712,240,730,259
stop,726,236,744,256
stop,739,235,758,256
stop,751,230,771,252
stop,763,225,785,248
stop,371,227,392,249
stop,775,224,797,247
stop,369,224,391,247
stop,786,222,808,246
stop,366,222,389,245
stop,796,219,818,243
stop,362,219,385,242
stop,805,228,829,254
stop,357,231,381,255
stop,814,227,838,253
stop,350,229,375,254
stop,822,204,847,230
stop,342,207,367,232
stop,830,200,856,227
stop,333,204,358,230
stop,841,205,868,233
stop,326,207,351,234
stop,856,198,883,226
stop,321,201,347,229
stop,871,191,899,220
stop,316,191,343,220
stop,886,183,916,214
stop,309,185,337,216
stop,902,182,934,214
stop,304,184,332,216
stop,920,181,954,214
stop,297,182,326,214
stop,939,174,973,210
stop,289,176,321,209
stop,958,170,994,207
stop,282,171,315,205
stop,980,171,1016,208
stop,275,169,307,204
stop,266,165,299,201
stop,117,122,167,179
stop,87,116,140,176
stop,51,108,108,173
stop,11,100,72,169
speedLimit45,257,129,292,173
speedLimit45,303,115,340,162
speedLimit45,353,110,393,159
speedLimit45,408,102,452,156
speedLimit45,467,87,514,146
speedLimit45,531,74,583,139
speedLimit45,604,59,662,132
speedLimit45,687,30,753,112
rightLaneMustTurn,832,96,884,149
rightLaneMustTurn,842,94,896,149
rightLaneMustTurn,852,87,908,145
rightLaneMustTurn,862,82,919,142
rightLaneMustTurn,870,79,929,140
rightLaneMustTurn,879,78,939,140
rightLaneMustTurn,886,75,948,139
rightLaneMustTurn,893,71,957,136
rightLaneMustTurn,901,67,967,134
rightLaneMustTurn,909,64,975,131
rightLaneMustTurn,916,59,983,129
rightLaneMustTurn,922,56,992,128
rightLaneMustTurn,928,52,1001,128
rightLaneMustTurn,936,50,1010,126
rightLaneMustTurn,944,46,1019,125
signalAhead,156,146,208,197
signalAhead,728,124,779,172
signalAhead,123,138,177,196
signalAhead,83,125,142,191
signalAhead,33,111,97,182
signalAhead,853,75,930,154
signalAhead,903,67,988,154
signalAhead,680,199,703,222
signalAhead,398,207,418,226
signalAhead,591,188,602,198
signalAhead,680,197,703,220
signalAhead,385,204,406,224
signalAhead,586,186,596,196
signalAhead,681,192,705,216
signalAhead,371,196,393,217
signalAhead,581,181,590,190
signalAhead,682,186,707,212
signalAhead,357,190,380,213
signalAhead,574,175,586,187
signalAhead,685,183,711,210
signalAhead,342,188,368,213
signalAhead,570,174,580,184
signalAhead,688,183,714,210
signalAhead,327,188,353,213
signalAhead,565,173,578,185
signalAhead,691,178,719,207
signalAhead,312,183,337,209
signalAhead,560,170,572,181
signalAhead,697,171,726,201
signalAhead,293,178,321,206
signalAhead,557,166,567,176
signalAhead,703,170,734,202
signalAhead,274,176,305,206
signalAhead,553,166,565,177
signalAhead,711,166,743,201
signalAhead,255,174,286,207
signalAhead,550,165,562,176
signalAhead,721,163,756,199
signalAhead,233,171,268,207
signalAhead,547,163,561,176
signalAhead,734,158,771,196
signalAhead,211,165,248,203
signalAhead,545,161,560,174
signalAhead,749,150,789,191
signalAhead,185,158,224,198
signalAhead,544,157,558,170
signalAhead,766,144,809,189
signalAhead,154,152,198,197
signalAhead,542,154,557,169
signalAhead,787,139,835,187
signalAhead,121,149,167,196
signalAhead,542,154,557,169
signalAhead,815,129,866,181
signalAhead,83,140,134,192
signalAhead,543,151,558,166
signalAhead,847,123,904,181
signalAhead,39,134,94,192
signalAhead,544,152,560,168
signalAhead,890,113,953,178
signalAhead,549,152,565,168
signalAhead,942,95,1012,167
signalAhead,553,146,569,162
signalAhead,555,141,571,157
signalAhead,628,53,662,88
signalAhead,636,47,672,84
signalAhead,644,38,682,76
signalAhead,653,24,693,65
signalAhead,663,15,704,57
signalAhead,674,3,718,47
pedestrianCrossing,875,163,909,197
signalAhead,688,209,704,226
pedestrianCrossing,906,162,941,200
signalAhead,696,213,712,230
pedestrianCrossing,940,159,978,199
signalAhead,704,213,721,231
pedestrianCrossing,980,152,1020,196
signalAhead,712,213,729,231
signalAhead,721,214,739,232
signalAhead,501,182,521,205
signalAhead,515,182,535,208
signalAhead,235,180,259,203
signalAhead,529,180,550,207
signalAhead,234,176,259,200
signalAhead,544,178,566,205
signalAhead,231,173,257,199
signalAhead,562,177,584,204
signalAhead,228,172,257,199
signalAhead,583,172,607,201
signalAhead,229,169,258,198
signalAhead,608,172,633,203
signalAhead,228,166,258,197
signalAhead,632,175,659,207
signalAhead,225,164,256,198
signalAhead,659,176,689,209
signalAhead,217,167,251,202
signalAhead,690,170,721,206
signalAhead,207,164,244,202
signalAhead,726,164,758,204
signalAhead,194,158,232,200
signalAhead,764,159,801,203
signalAhead,172,152,215,197
signalAhead,812,151,853,202
signalAhead,146,144,196,195
signalAhead,872,148,918,205
signalAhead,109,134,166,195
signalAhead,948,135,1003,201
signalAhead,59,123,125,193
rightLaneMustTurn,758,104,792,162
rightLaneMustTurn,791,86,830,150
rightLaneMustTurn,841,70,885,143
rightLaneMustTurn,904,46,955,129
rightLaneMustTurn,697,83,740,148
rightLaneMustTurn,716,73,762,144
rightLaneMustTurn,733,64,782,139
rightLaneMustTurn,751,52,803,132
rightLaneMustTurn,767,42,822,126
rightLaneMustTurn,783,30,843,120
rightLaneMustTurn,800,18,863,112
rightLaneMustTurn,817,8,883,108
rightLaneMustTurn,833,0,903,104
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,292,220,315,249
keepRight,290,222,314,251
keepRight,288,235,313,267
keepRight,277,231,303,264
keepRight,247,234,274,268
laneEnds,582,114,605,138
laneEnds,584,115,607,139
laneEnds,585,115,608,139
laneEnds,587,115,610,139
laneEnds,589,111,612,137
laneEnds,590,109,613,135
laneEnds,591,109,614,135
laneEnds,592,109,615,135
laneEnds,593,107,616,133
laneEnds,592,105,617,133
laneEnds,592,101,617,127
laneEnds,594,97,619,124
laneEnds,594,96,619,123
laneEnds,593,89,620,116
laneEnds,596,83,623,110
laneEnds,596,78,623,105
laneEnds,596,74,623,101
laneEnds,596,69,626,98
laneEnds,598,60,628,92
laneEnds,601,58,631,90
laneEnds,602,63,635,97
laneEnds,606,59,639,93
laneEnds,606,35,642,71
laneEnds,611,33,648,71
laneEnds,614,34,651,73
laneEnds,620,23,657,62
laneEnds,620,23,657,62
laneEnds,628,2,669,44
keepRight,236,228,260,260
keepRight,213,231,239,264
keepRight,188,227,216,263
school,204,124,249,187
school,762,131,807,196
school,168,95,218,167
school,825,105,876,182
school,117,92,176,180
school,917,94,981,187
school,27,57,103,168
speedLimit25,305,138,341,185
speedLimit25,823,126,858,169
speedLimit25,286,130,327,181
speedLimit25,869,116,911,167
speedLimit25,261,119,307,176
speedLimit25,926,101,972,159
speedLimit25,229,103,282,170
speedLimit25,183,82,246,159
speedLimit25,117,53,195,148
speedLimit25,17,14,115,133
speedLimit45,159,111,203,164
speedLimit45,85,88,137,154
keepRight,161,238,220,308
keepRight,60,236,135,326
pedestrianCrossing,367,153,402,189
pedestrianCrossing,790,152,822,186
pedestrianCrossing,340,143,379,183
pedestrianCrossing,833,143,871,182
pedestrianCrossing,300,125,348,173
pedestrianCrossing,893,127,939,174
pedestrianCrossing,245,99,305,158
signalAhead,432,159,462,189
signalAhead,654,165,683,194
signalAhead,426,157,458,191
signalAhead,666,165,697,197
signalAhead,420,157,453,193
signalAhead,679,164,712,200
signalAhead,411,154,447,192
signalAhead,696,160,730,197
signalAhead,398,153,438,195
signalAhead,713,162,752,203
signalAhead,383,145,429,192
signalAhead,735,156,778,202
signalAhead,366,136,417,187
signalAhead,762,146,811,197
signalAhead,341,125,400,186
signalAhead,797,138,852,197
signalAhead,309,113,377,183
signalAhead,845,128,907,194
signalAhead,263,93,344,179
signalAhead,913,110,985,189
signalAhead,191,57,294,164
signalAhead,67,2,208,146
speedLimit35,750,180,769,204
speedLimit35,762,179,783,205
speedLimit35,776,173,798,200
speedLimit35,791,169,816,198
speedLimit35,810,170,834,201
speedLimit35,826,171,852,205
speedLimit35,840,172,867,206
speedLimit35,860,163,889,201
speedLimit35,881,160,913,199
speedLimit35,911,154,946,196
speedLimit35,953,144,991,191
speedLimit35,832,98,877,151
speedLimit35,890,72,944,137
signalAhead,81,145,170,234
merge,472,165,511,205
merge,447,162,491,207
merge,419,162,467,213
merge,383,156,439,214
merge,336,146,402,213
merge,275,124,353,204
merge,186,94,281,196
merge,46,51,171,184
addedLane,608,193,637,222
addedLane,617,192,647,223
addedLane,626,188,662,223
addedLane,636,181,676,221
addedLane,650,176,692,218
addedLane,669,168,712,213
addedLane,689,158,739,209
addedLane,717,150,773,207
addedLane,755,134,823,203
addedLane,810,116,894,201
addedLane,899,83,1007,188
addedLane,722,166,757,202
addedLane,745,159,785,201
addedLane,775,148,818,194
addedLane,815,138,865,189
addedLane,865,125,925,186
addedLane,939,108,1006,179
addedLane,347,129,406,194
addedLane,282,109,355,188
addedLane,188,76,279,178
addedLane,26,12,151,161
laneEnds,819,134,868,182
laneEnds,846,127,900,179
laneEnds,886,107,948,173
addedLane,593,161,626,194
addedLane,603,155,639,191
addedLane,615,149,656,189
addedLane,629,140,673,184
addedLane,648,131,697,183
addedLane,669,116,731,177
addedLane,705,98,777,171
addedLane,755,68,848,161
addedLane,843,12,966,139
rampSpeedAdvisory40,851,175,882,212
rampSpeedAdvisory40,885,167,920,211
rampSpeedAdvisory40,927,164,966,214
rampSpeedAdvisory45,304,132,356,197
rampSpeedAdvisory45,262,115,323,193
rampSpeedAdvisory45,201,87,277,183
rampSpeedAdvisory45,104,47,204,172
addedLane,554,184,586,218
addedLane,532,177,565,214
addedLane,505,174,542,215
addedLane,475,174,518,216
addedLane,445,167,490,213
addedLane,415,156,464,208
addedLane,377,146,434,202
addedLane,333,136,399,202
addedLane,276,111,352,189
addedLane,196,84,291,183
addedLane,68,34,192,163
merge,820,142,856,180
merge,823,139,864,180
merge,833,137,878,181
merge,852,129,901,179
merge,879,120,934,176
merge,921,106,985,172
laneEnds,670,171,700,200
laneEnds,690,171,720,200
laneEnds,711,165,745,200
laneEnds,741,162,777,199
laneEnds,773,154,818,200
laneEnds,823,144,871,194
laneEnds,883,133,945,194
merge,572,179,598,204
merge,575,175,602,204
merge,578,170,612,203
merge,585,163,620,199
merge,592,158,630,197
merge,606,151,648,194
merge,622,142,672,188
merge,645,126,702,182
merge,680,106,747,174
merge,730,81,814,165
merge,807,34,919,145
laneEnds,655,203,675,222
laneEnds,659,204,681,224
laneEnds,668,197,691,220
laneEnds,678,197,701,220
laneEnds,693,196,717,220
laneEnds,711,193,736,219
laneEnds,732,187,761,215
laneEnds,762,180,793,213
laneEnds,799,180,832,215
laneEnds,842,183,882,221
laneEnds,896,178,939,221
laneEnds,963,167,1011,215
addedLane,678,180,707,205
addedLane,691,178,717,203
addedLane,703,173,731,200
addedLane,716,172,749,203
addedLane,735,169,770,204
addedLane,758,164,795,202
addedLane,785,157,827,201
addedLane,820,142,869,193
addedLane,870,126,927,186
addedLane,940,110,1008,181
curveRight,721,156,763,199
curveRight,747,145,796,195
curveRight,783,135,838,193
curveRight,829,120,894,188
curveRight,893,96,973,174
addedLane,417,126,480,190
addedLane,367,106,443,182
addedLane,304,82,394,175
addedLane,214,47,328,165
addedLane,563,201,580,218
addedLane,564,201,581,218
addedLane,565,200,582,217
addedLane,567,201,584,218
addedLane,567,205,586,223
addedLane,569,204,588,222
addedLane,573,204,592,223
addedLane,575,192,596,214
addedLane,580,190,602,213
addedLane,584,193,606,216
addedLane,588,188,613,213
addedLane,594,178,620,204
addedLane,600,185,628,212
addedLane,608,174,637,203
addedLane,618,170,648,201
addedLane,629,174,663,208
addedLane,641,171,678,206
addedLane,653,167,693,207
addedLane,669,157,713,202
addedLane,689,148,738,197
addedLane,713,141,769,196
addedLane,746,124,812,190
addedLane,795,99,874,180
addedLane,869,67,968,168
speedLimit65,638,183,660,207
speedLimit65,642,180,665,206
speedLimit65,648,174,673,204
speedLimit65,656,172,681,202
speedLimit65,666,167,693,200
speedLimit65,676,163,706,200
speedLimit65,690,157,723,197
speedLimit65,707,147,744,195
speedLimit65,728,137,772,190
speedLimit65,758,124,808,184
speedLimit65,798,104,858,176
speedLimit65,857,74,933,165
truckSpeedLimit55,645,169,674,205
truckSpeedLimit55,659,162,691,203
truckSpeedLimit55,677,155,713,201
truckSpeedLimit55,700,147,740,196
truckSpeedLimit55,729,135,774,193
truckSpeedLimit55,765,119,822,187
truckSpeedLimit55,821,96,888,177
truckSpeedLimit55,902,62,990,163
thruMergeLeft,685,144,746,206
thruMergeLeft,705,134,776,206
thruMergeLeft,735,119,815,201
thruMergeLeft,774,103,865,197
thruMergeLeft,828,81,939,193
signalAhead,627,173,660,206
signalAhead,637,168,673,206
signalAhead,644,160,688,203
signalAhead,654,155,703,203
signalAhead,668,147,721,202
signalAhead,688,140,748,200
signalAhead,714,122,785,193
signalAhead,754,97,839,183
signalAhead,814,60,921,168
rightLaneMustTurn,778,167,813,206
rightLaneMustTurn,808,156,845,197
rightLaneMustTurn,845,136,887,184
rightLaneMustTurn,889,129,938,183
rightLaneMustTurn,947,122,1002,182
signalAhead,535,209,554,225
signalAhead,539,210,561,232
signalAhead,545,201,569,225
signalAhead,570,192,598,219
signalAhead,590,184,619,213
signalAhead,600,183,632,217
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,602,187,634,220
signalAhead,606,197,638,230
signalAhead,629,193,663,229
pedestrianCrossing,653,192,682,220
pedestrianCrossing,659,186,689,216
pedestrianCrossing,667,185,697,217
pedestrianCrossing,673,179,706,212
pedestrianCrossing,680,176,714,210
pedestrianCrossing,689,170,725,206
pedestrianCrossing,698,166,736,204
pedestrianCrossing,710,163,751,205
pedestrianCrossing,724,155,770,200
pedestrianCrossing,742,146,791,196
pedestrianCrossing,762,132,817,186
pedestrianCrossing,789,127,847,185
pedestrianCrossing,819,117,883,180
pedestrianCrossing,854,97,927,167
pedestrianCrossing,819,217,844,241
signalAhead,682,209,702,229
pedestrianCrossing,900,79,981,158
pedestrianCrossing,834,215,861,242
signalAhead,690,208,710,228
pedestrianCrossing,851,209,878,236
signalAhead,697,202,718,224
pedestrianCrossing,908,219,944,255
signalAhead,701,210,725,234
pedestrianCrossing,917,210,953,246
signalAhead,695,201,720,227
pedestrianCrossing,926,207,964,246
signalAhead,689,198,715,224
pedestrianCrossing,933,199,974,241
signalAhead,680,191,707,219
pedestrianCrossing,943,188,987,231
signalAhead,672,181,700,211
pedestrianCrossing,958,188,1005,234
signalAhead,668,183,697,213
signalAhead,673,185,704,215
signalAhead,692,176,725,208
signalAhead,731,172,764,204
signalAhead,770,167,805,203
signalAhead,911,149,957,193
signalAhead,946,148,995,197
stop,606,184,622,201
stop,315,184,329,199
stop,608,184,624,201
stop,308,183,322,198
stop,610,182,626,199
stop,300,182,315,198
stop,612,179,628,196
stop,291,179,308,196
stop,615,177,631,194
stop,283,177,300,194
stop,617,177,633,194
stop,274,178,291,195
stop,618,174,636,193
stop,263,175,281,194
stop,621,173,640,193
stop,252,174,272,194
stop,625,175,643,197
stop,240,176,260,196
stop,628,174,646,196
stop,228,174,249,195
stop,631,168,651,190
stop,214,168,236,190
stop,632,165,654,190
stop,197,164,220,188
stop,634,164,659,189
stop,179,163,203,189
stop,636,161,662,187
stop,159,161,184,189
stop,641,161,668,188
stop,140,161,167,189
stop,648,158,677,188
stop,122,159,150,190
stop,657,156,687,187
stop,101,157,131,188
stop,667,150,698,184
stop,79,153,111,186
stop,678,147,710,182
stop,55,150,88,183
stop,690,141,724,178
stop,27,146,62,182
stop,703,135,741,175
stop,719,128,759,169
stop,736,122,778,167
stop,756,117,801,165
stop,777,109,827,161
stop,803,99,856,155
stop,831,91,891,153
stop,865,77,931,144
stop,904,60,978,135
speedLimit30,905,123,949,175
speedLimit30,915,109,961,163
speedLimit30,935,95,985,154
speedLimit30,964,77,1020,143
stop,577,189,599,211
stop,587,189,609,211
stop,600,190,622,212
stop,618,190,640,212
stop,639,191,661,213
stop,665,189,687,211
stop,695,189,715,211
stop,726,188,748,211
stop,761,187,784,210
stop,801,186,824,209
stop,842,186,865,209
stop,885,186,908,209
stop,929,186,952,209
stop,976,186,999,209
stop,926,193,952,219
stop,878,193,904,219
stop,830,189,856,215
stop,787,189,813,215
stop,747,189,773,215
stop,714,185,740,212
stop,684,182,710,209
stop,660,181,687,208
stop,640,181,668,209
stop,626,181,655,209
stop,617,180,646,208
stop,611,178,641,207
stop,608,176,639,206
stop,613,175,645,207
stop,625,176,657,208
stop,638,174,671,208
stop,651,168,686,203
stop,665,162,702,198
stop,682,158,720,196
stop,700,154,738,192
stop,719,146,758,186
stop,738,140,779,182
stop,758,134,801,179
stop,775,132,823,180
stop,797,128,847,179
stop,820,118,873,173
speedLimit30,582,191,597,210
stop,844,102,902,160
speedLimit30,585,183,600,202
stop,873,92,935,155
speedLimit30,587,182,602,201
stop,906,80,973,148
speedLimit30,590,179,605,198
stop,943,61,1016,134
speedLimit30,591,174,606,193
speedLimit30,595,167,611,187
speedLimit30,607,177,624,198
speedLimit30,615,174,633,196
speedLimit30,623,174,642,197
speedLimit30,630,174,649,197
speedLimit30,636,172,656,197
speedLimit30,640,171,661,196
speedLimit30,643,171,664,197
speedLimit30,645,176,666,202
speedLimit30,646,176,667,202
speedLimit30,647,176,668,202
speedLimit30,649,177,670,203
speedLimit30,651,178,672,204
speedLimit30,653,180,674,206
speedLimit30,656,183,678,210
speedLimit30,660,185,682,212
speedLimit30,665,183,687,210
speedLimit30,672,175,694,202
speedLimit30,677,174,701,202
speedLimit30,684,184,709,214
speedLimit30,694,169,719,199
speedLimit30,702,163,730,197
speedLimit30,710,155,740,192
speedLimit30,722,138,755,178
speedLimit30,741,79,777,123
speedLimit30,775,179,814,229
stopAhead,864,175,885,197
stopAhead,856,173,880,197
stopAhead,849,175,874,201
stopAhead,840,179,867,206
stopAhead,831,168,859,196
stopAhead,823,163,851,191
stopAhead,815,175,844,203
stopAhead,811,174,841,204
stopAhead,807,169,839,200
stopAhead,805,177,838,210
stopAhead,804,186,839,220
stopAhead,805,186,842,224
stopAhead,808,185,848,226
stopAhead,812,183,854,226
stopAhead,817,180,862,225
stopAhead,824,174,872,222
stopAhead,834,158,888,210
stopAhead,854,143,911,202
stopAhead,880,148,944,213
stopAhead,920,119,991,194
stop,964,157,990,184
stop,960,157,988,185
stop,959,154,989,184
stop,958,160,989,191
stop,961,156,993,190
stop,963,155,999,190
stop,970,147,1009,184
stop,983,143,1022,183
speedLimit30,699,172,716,193
speedLimit30,701,173,718,194
speedLimit30,702,172,719,193
speedLimit30,703,174,721,196
speedLimit30,705,175,723,197
speedLimit30,707,172,725,194
speedLimit30,710,170,728,192
speedLimit30,715,172,733,194
speedLimit30,722,171,740,193
speedLimit30,735,173,754,196
speedLimit30,763,175,783,199
speedLimit30,805,174,826,200
speedLimit30,868,176,889,202
speedLimit30,965,171,987,197
yield,16,217,52,249
yield,191,219,227,251
yield,356,217,392,249
yield,508,206,544,238
yield,648,198,685,232
yield,776,191,815,226
yield,852,173,895,211
yield,894,162,939,201
yield,924,160,971,201
yield,965,158,1014,201
merge,577,187,606,215
merge,581,189,610,217
merge,584,187,614,216
merge,584,186,615,218
merge,582,181,613,213
merge,584,178,617,212
merge,589,177,623,211
merge,595,176,630,212
merge,601,176,640,214
merge,609,174,648,213
merge,617,170,658,211
merge,622,166,667,209
merge,632,160,678,207
merge,641,160,690,209
merge,650,151,702,204
merge,659,146,717,205
merge,669,141,733,205
merge,684,131,753,201
merge,704,121,779,197
merge,724,103,809,188
merge,751,84,848,183
merge,788,70,899,185
merge,839,41,969,176
thruMergeRight,364,154,419,209
thruMergeRight,345,147,406,210
